"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 18 11:25:01 CST 2021","Sat Sep 18 11:25:01 CST 2021","1","","pytest","","test_01创建用例.TestClass","","test_name",""
"failed","Sat Sep 18 11:25:01 CST 2021","Sat Sep 18 11:25:01 CST 2021","1","","pytest","","test_01创建用例.TestClass","","test_fun",""
